ID,DESCRICAO,timestamp,ESTOQUE,UNIDADE,LOJA,CATEGORIA,MARCA,QUALIDADE,QTD,URL,TAMANHO
id_93,Fralda Pampers Premium Care XG 60 unidades,2024-12-03 17:10:25,True,2.7,DROGARAIA,fraldas,PAMPERS,PREMIUM CARE,60,https://www.drogaraia.com.br/pampers-premium-care-tamanho-extra-grande-com-60-tiras.html,XG
id_94,Fralda Pampers Supersec XG 40 unidades,2024-12-03 17:10:25,True,1.7,DROGARAIA,fraldas,PAMPERS,SUPERSEC,40,https://www.drogaraia.com.br/pampers-supersec-hiper-tamanho-extra-grande-com-40-tiras.html,XG
id_95,Fralda Pampers Confort Sec XG 116 unidades,2024-12-03 17:10:25,True,1.77,DROGARAIA,fraldas,PAMPERS,CONFORT SEC,116,https://www.drogaraia.com.br/pampers-fralda-confortsec-jumbo-tamanho-xg-com-116-unidades.html,XG
id_96,Fralda Pampers Confort Sec XG 34 unidades,2024-12-03 17:10:25,True,2.32,DROGARAIA,fraldas,PAMPERS,CONFORT SEC,34,https://www.drogaraia.com.br/pampers-confortsec-mega-tamanho-xg-34-unidades.html,XG
id_97,Fralda Pampers Confort Sec XG 54 unidades,2024-12-03 17:10:25,True,1.92,DROGARAIA,fraldas,PAMPERS,CONFORT SEC,54,https://www.drogaraia.com.br/pampers-fralda-descartvel-confortsec-super-xg-54-unidades.html,XG
id_98,Fralda Huggies Tripla Proteção Disney Baby XG 32 unidades,2024-12-03 17:10:25,True,1.75,DROGARAIA,fraldas,HUGGIES,TRIPLA PROTECAO,32,https://www.drogaraia.com.br/fralda-huggies-tripla-protecao-tamanho-xg.html,XG
id_99,Fralda Huggies Supreme Care Disney Baby XG 26 unidades,2024-12-03 17:10:25,True,2.42,DROGARAIA,fraldas,HUGGIES,SUPREME CARE,26,https://www.drogaraia.com.br/huggies-fralda-supreme-care-unissex-mega-xg.html,XG
id_100,Fralda Pampers Confort Sec XG 62 unidades,2024-12-03 17:10:25,True,2.1,DROGARAIA,fraldas,PAMPERS,CONFORT SEC,62,https://www.drogaraia.com.br/pampers-confortsec-giga-tamanho-xg-62-unidades-1.html,XG
id_101,Fralda Pampers Premium Care XG 26 unidades,2024-12-03 17:10:25,True,3.07,DROGARAIA,fraldas,PAMPERS,PREMIUM CARE,26,https://www.drogaraia.com.br/pampers-premium-care-tamanho-extra-grande-com-26-tiras.html,XG
id_102,Fralda Pampers Confort Sec XG 58 unidades,2024-12-03 17:10:25,True,1.89,DROGARAIA,fraldas,PAMPERS,CONFORT SEC,58,https://www.drogaraia.com.br/pampers-fralda-descartavel-confortsec-super-xg-58-unidades-1096108.html,XG
id_118,Fralda Descartável Pampers Premium Care Pants XG 64 Unidades,2024-12-03 17:10:25,True,1.38,INTER SHOP,fraldas,PAMPERS,PREMIUM CARE,64,https://shopping.inter.co/Fralda-Descartavel-Pampers/p/2349161,XG
id_119,Fralda Pampers Confort Sec Jumbo Xg 116 Unidades,2024-12-03 17:10:25,True,1.3,INTER SHOP,fraldas,PAMPERS,CONFORT SEC,116,https://shopping.inter.co/Fralda-Pampers-Confort-Sec/p/5990471,XG
id_120,Fralda Descartável Pampers Supersec Jumbo 68 Unidades XG,2024-12-03 17:10:25,True,1.46,INTER SHOP,fraldas,PAMPERS,SUPERSEC,68,https://shopping.inter.co/Fralda-Descartavel-Pampers/p/6115048,XG
id_121,Fralda Pampers Supersec Jumbo Xg Com 68 Unidades,2024-12-03 17:10:25,True,1.3,INTER SHOP,fraldas,PAMPERS,SUPERSEC,68,https://shopping.inter.co/Fralda-Pampers-Supersec-Jumbo/p/6218741,XG
id_122,Fralda Pampers Confort Sec Max Xg Com 88 Unidades,2024-12-03 17:10:25,True,1.39,INTER SHOP,fraldas,PAMPERS,CONFORT SEC,88,https://shopping.inter.co/Fralda-Pampers-Confort-Sec/p/5990699,XG
id_123,Fralda Huggies Tripla Proteção Hiper Xg Com 66 Unidades,2024-12-03 17:10:25,True,1.48,INTER SHOP,fraldas,HUGGIES,TRIPLA PROTECAO,66,https://shopping.inter.co/Fralda-Huggies-Tripla/p/5990949,XG
id_124,Fralda Huggies Supreme Care Ultra Xg Com 140 Unidades,2024-12-03 17:10:25,True,1.17,INTER SHOP,fraldas,HUGGIES,SUPREME CARE,140,https://shopping.inter.co/Fralda-Huggies-Supreme-Care/p/5990480,XG
id_125,Kit Fralda Descartável Huggies Supreme Care XG 116 Tiras,2024-12-03 17:10:25,True,1.43,INTER SHOP,fraldas,HUGGIES,SUPREME CARE,116,https://shopping.inter.co/Kit-Fralda-Descartavel/p/4581811,XG
id_125,Kit Fralda Descartável Huggies Supreme Care XG 116 Tiras,2024-12-03 17:10:25,True,2.76,INTER SHOP,fraldas,HUGGIES,SUPREME CARE,116,https://shopping.inter.co/Kit-Fralda-Descartavel/p/4581811,XG
